Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Training,0.035210082,15.2,15.0123565,0.187643496,0.093656321,,,,
XGB,Training,3.68668E-05,9.45,9.443928197,0.006071803,-0.017783687,,,,
XGB,Training,0.006113003,18.52,18.44181431,0.078185695,0.026476366,,,,
XGB,Training,0.000213638,31.8,31.78538364,0.014616365,-0.012539444,,,,
XGB,Training,0.000112489,10.91,10.89939392,0.010606083,-0.015000763,,,,
XGB,Training,1.34525E-05,16.32,16.32366777,-0.003667769,-0.023761369,,,,
XGB,Training,1.54838E-05,4.7,4.696065059,0.003934941,-0.01909519,,,,
XGB,Training,0.001434125,13.7,13.73786984,-0.037869842,-0.044752964,,,,
XGB,Training,0.000373687,4.7,4.719330992,-0.019330992,-0.033374706,,,,
XGB,Training,0.000164388,1.33,1.34282138,-0.01282138,-0.029379417,,,,
XGB,Training,0.00174422,22.3,22.34176387,-0.041763865,-0.047142928,,,,
XGB,Training,0.000708025,3.7,3.726608742,-0.026608742,-0.03784144,,,,
XGB,Training,0.08111754,2.824,3.108811411,-0.284811411,-0.196313869,,,,
XGB,Training,0.0160034,7.9,8.026504547,-0.126504547,-0.0991527,,,,
XGB,Training,0.004090107,11.3,11.23604605,0.063953946,0.0177416,,,,
XGB,Training,0.179038625,19.66,20.08312956,-0.42312956,-0.281206924,,,,
XGB,Training,0.002206044,27.4,27.35303145,0.046968546,0.007316775,,,,
XGB,Training,0.006313495,9.906,9.826542495,0.079457505,0.027256942,,,,
XGB,Training,0.010553405,16.58,16.68272977,-0.102729769,-0.08456088,,,,
XGB,Training,0.001266113,19,19.03558249,-0.035582489,-0.043349095,,,,
XGB,Training,0.004256766,31.13,31.1952439,-0.065243897,-0.061553847,,,,
XGB,Training,0.000727799,10.79,10.76302226,0.026977745,-0.004952621,,,,
XGB,Training,0.006643353,15.22,15.13849323,0.081506769,0.028514682,,,,
XGB,Training,0.008680786,12.776,12.68282926,0.093170736,0.035673466,,,,
XGB,Training,0.000658285,6.75,6.775657059,-0.025657059,-0.037257342,,,,
XGB,Training,0.076637197,8.977,9.25383424,-0.27683424,-0.191417864,,,,
XGB,Training,0.001677506,6.1,6.059042633,0.040957367,0.003627402,,,,
XGB,Training,0.092775216,10.33,10.63459024,-0.304590242,-0.208453169,,,,
XGB,Training,0.023308001,17.417,17.26433042,0.152669582,0.072191008,,,,
XGB,Training,0.018854407,20.8,20.93731135,-0.13731135,-0.105785397,,,,
XGB,Training,0.000203337,9.11,9.124259632,-0.014259632,-0.030262148,,,,
XGB,Training,0.009724588,7.205,7.303613324,-0.098613324,-0.082034403,,,,
XGB,Training,2.28713E-05,23.2,23.2047824,-0.004782398,-0.024445475,,,,
XGB,Training,0.001668978,5.971,6.011853129,-0.040853129,-0.046583962,,,,
XGB,Training,2.68296E-05,24.5,24.49482027,0.005179726,-0.0183312,,,,
XGB,Training,0.001677506,6.1,6.059042633,0.040957367,0.003627402,,,,
XGB,Training,0.125912444,13.745,14.09984144,-0.354841435,-0.239294944,,,,
XGB,Training,6.57359E-07,4.8,4.799189223,0.000810777,-0.021012652,,,,
XGB,Training,0.002630949,10.134,10.08270723,0.051292773,0.009970778,,,,
XGB,Training,0.010602305,12.55,12.65296749,-0.102967494,-0.084706784,,,,
XGB,Training,0.009441968,8.492,8.394830212,0.097169788,0.038127893,,,,
XGB,Training,4.368211725,19.57,17.47997327,2.090026728,1.261248022,,,,
XGB,Training,0.001129799,16.55,16.58361248,-0.033612476,-0.042139996,,,,
XGB,Training,0.066594726,14.776,14.51794046,0.25805954,0.136874316,,,,
